day,user_id,position,value_prop
2020-11-01,98702,0,cellphone_recharge
2020-11-01,3708,2,point
2020-11-01,3708,3,send_money
2020-11-01,93963,0,transport
2020-11-01,93963,1,cellphone_recharge
2020-11-01,94945,0,link_cobro
2020-11-01,94945,1,cellphone_recharge
2020-11-01,89026,2,prepaid
2020-11-01,7616,0,link_cobro
2020-11-01,63471,0,link_cobro
2020-11-01,98277,1,send_money
2020-11-01,83634,2,cellphone_recharge
2020-11-01,2367,0,cellphone_recharge
2020-11-01,14472,0,credits_consumer
2020-11-01,88316,2,send_money
2020-11-01,40910,0,credits_consumer
2020-11-01,412,0,cellphone_recharge
2020-11-01,76198,1,prepaid
2020-11-01,52715,3,transport
2020-11-01,9294,2,credits_consumer
2020-11-01,34528,0,credits_consumer
2020-11-01,81864,0,prepaid
2020-11-01,55912,1,point
2020-11-01,20343,2,prepaid
2020-11-01,13831,0,send_money
2020-11-01,91578,0,point
2020-11-01,90758,1,credits_consumer
2020-11-01,6022,0,prepaid
2020-11-01,31435,3,credits_consumer
2020-11-01,64427,2,link_cobro
2020-11-01,72055,1,prepaid
2020-11-01,49433,1,send_money
2020-11-01,88000,0,credits_consumer
2020-11-01,44606,0,transport
2020-11-01,44606,2,cellphone_recharge
2020-11-01,97519,0,send_money
2020-11-01,97519,1,link_cobro
2020-11-01,97519,2,prepaid
2020-11-01,23303,2,cellphone_recharge
2020-11-01,68858,0,transport
2020-11-01,76311,0,link_cobro
2020-11-01,79160,1,prepaid
2020-11-01,71651,1,credits_consumer
2020-11-01,71651,3,send_money
2020-11-01,97926,2,transport
2020-11-01,72740,1,prepaid
2020-11-01,28981,1,link_cobro
2020-11-01,80940,1,credits_consumer
2020-11-01,14554,3,link_cobro
2020-11-01,42323,0,send_money
2020-11-01,89315,1,link_cobro
2020-11-01,32869,0,transport
2020-11-01,54353,2,send_money
2020-11-01,75158,3,credits_consumer
2020-11-01,88680,2,point
2020-11-01,16022,0,link_cobro
2020-11-01,55603,0,prepaid
2020-11-01,17690,0,credits_consumer
2020-11-01,81363,0,cellphone_recharge
2020-11-01,81363,1,point
2020-11-01,64564,1,transport
2020-11-01,68809,0,point
2020-11-01,91764,2,send_money
2020-11-01,89571,0,transport
2020-11-01,45675,0,prepaid
2020-11-01,15685,0,transport
2020-11-01,73597,1,prepaid
2020-11-01,91933,0,prepaid
2020-11-01,91933,1,credits_consumer
2020-11-01,72163,3,send_money
2020-11-01,12814,0,send_money
2020-11-01,17472,2,transport
2020-11-01,81546,2,transport
2020-11-01,12569,0,point
2020-11-01,31796,2,prepaid
2020-11-01,75123,1,credits_consumer
2020-11-01,72992,0,link_cobro
2020-11-01,27310,0,send_money
2020-11-01,1488,1,transport
2020-11-01,1889,0,point
2020-11-01,94858,2,prepaid
2020-11-01,92803,1,point
2020-11-01,41316,0,point
2020-11-01,63434,2,send_money
2020-11-01,63591,1,prepaid
2020-11-01,75588,0,link_cobro
2020-11-01,44643,0,link_cobro
2020-11-01,46345,0,transport
2020-11-01,20356,0,credits_consumer
2020-11-01,20356,2,point
2020-11-01,77107,1,link_cobro
2020-11-01,45614,0,transport
2020-11-01,97568,3,credits_consumer
2020-11-01,26839,0,point
2020-11-01,68755,0,link_cobro
2020-11-01,49611,1,credits_consumer
2020-11-01,49611,3,cellphone_recharge
2020-11-01,98743,1,link_cobro
2020-11-01,30519,0,cellphone_recharge
2020-11-01,68074,2,link_cobro
2020-11-01,37258,2,prepaid
2020-11-01,32206,0,prepaid
2020-11-01,43134,0,point
2020-11-01,74067,3,cellphone_recharge
2020-11-01,36144,0,link_cobro
2020-11-01,84960,1,link_cobro
2020-11-01,40488,0,link_cobro
2020-11-01,39496,0,prepaid
2020-11-01,70331,2,link_cobro
2020-11-01,33873,2,send_money
2020-11-01,63186,0,point
2020-11-01,77954,0,transport
2020-11-01,74950,0,point
2020-11-01,43411,1,link_cobro
2020-11-01,59014,0,point
2020-11-01,10942,2,transport
2020-11-01,2742,0,point
2020-11-01,44556,2,point
2020-11-01,93351,1,credits_consumer
2020-11-01,8182,1,prepaid
2020-11-01,64527,1,point
2020-11-01,37103,1,cellphone_recharge
2020-11-01,81334,1,prepaid
2020-11-01,4033,3,link_cobro
2020-11-01,44197,1,credits_consumer
2020-11-01,86551,1,send_money
2020-11-01,77991,1,prepaid
2020-11-01,81295,1,point
2020-11-01,61751,2,send_money
2020-11-01,97839,3,link_cobro
2020-11-01,90267,0,link_cobro
2020-11-01,56605,0,send_money
2020-11-01,26653,1,prepaid
2020-11-01,27597,1,point
2020-11-01,27597,2,send_money
